id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
28785,Morera,19/04/2011 12:37,Alto (> 8 mts),150.0,Grande,-68.8477646994,-32.8865908496,1,Parque Central,1655357.93265,0,muy alto
16177,Morera,18/07/2011 09:23,Alto (> 8 mts),182.0,Grande,-68.8437218685,-32.8683726163,4,Cuarta Oeste,1173332.70145,1,muy alto
43129,Paraiso,04/10/2011 08:46,Alto (> 8 mts),170.0,Grande,-68.8286540921,-32.8779382835,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
2269,Fresno americano,27/10/2011 09:40,Muy bajo (1 - 2 mts),18.0,Chico,-68.8371709766,-32.8911830847,3,Parque O'Higgins,1531146.02653,0,bajo
3053,Paraiso sombrilla,16/09/2011 09:19,Alto (> 8 mts),140.0,Grande,-68.8260790707,-32.8725528179,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
18621,Paraiso,06/07/2011 11:19,Alto (> 8 mts),210.0,Grande,-68.837675225,-32.874197634,4,Cuarta Oeste,1173332.70145,0,muy alto
17750,Morera,20/07/2011 12:43,Alto (> 8 mts),140.0,Grande,-68.8420366431,-32.8663459578,4,Cuarta Oeste,1173332.70145,0,muy alto
33290,Pltano,24/06/2011 13:23,Alto (> 8 mts),155.0,Grande,-68.8564897886,-32.8898100516,5,Residencial Sur,2423808.92355,0,muy alto
37228,Morera,11/03/2011 13:04,Muy bajo (1 - 2 mts),7.0,Chico,-68.8575348069,-32.8732609981,6,Residencial Norte,2694682.37982,0,bajo
24480,Morera,19/01/2011 12:53,Alto (> 8 mts),180.0,Grande,-68.8460169302,-32.9036012716,2,Barrio Civico,2366816.36021,0,muy alto
18440,Morera,11/07/2011 10:08,Alto (> 8 mts),110.0,Grande,-68.8394296584,-32.87291545,4,Cuarta Oeste,1173332.70145,0,muy alto
18238,Morera,29/07/2011 10:39,Alto (> 8 mts),87.0,Grande,-68.8389667039,-32.8673523,4,Cuarta Oeste,1173332.70145,0,alto
22307,Fresno europeo,09/06/2011 10:51,Alto (> 8 mts),105.0,Grande,-68.8580943389,-32.8978330761,5,Residencial Sur,2423808.92355,0,muy alto
9362,Morera,16/02/2011 10:18,Medio (4 - 8 mts),82.0,Grande,-68.8453887951,-32.8653697677,4,Cuarta Oeste,1173332.70145,0,alto
19460,Morera,12/07/2011 11:57,Alto (> 8 mts),75.0,Grande,-68.838606,-32.8706767559,4,Cuarta Oeste,1173332.70145,1,alto
28328,Olmo comun,11/03/2011 12:30,Alto (> 8 mts),260.0,Grande,-68.8481630465,-32.8886597873,5,Residencial Sur,2423808.92355,0,muy alto
14965,Acacia SP,21/12/2011 17:31,Bajo (2 - 4 mts),60.0,Mediano,-68.8808028222,-32.8720508528,8,Aeroparque,2203364.73622,0,alto
18198,Morera,22/07/2011 09:14,Alto (> 8 mts),110.0,Grande,-68.8404229131,-32.8691823545,4,Cuarta Oeste,1173332.70145,1,muy alto
3422,Caducifolio,17/08/2011 13:43,Muy bajo (1 - 2 mts),2.0,Chico,-68.8306235125,-32.8684754128,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
47313,Paraiso,21/09/2011 11:07,Medio (4 - 8 mts),188.0,Grande,-68.8313872142,-32.875269361,4,Cuarta Este Área Fundacional,1822015.85685,1,muy alto
32539,Acacia SP,23/06/2011 11:02,Alto (> 8 mts),160.0,Grande,-68.8502526118,-32.8894452737,5,Residencial Sur,2423808.92355,0,muy alto
37957,Morera,26/08/2010 09:03,Medio (4 - 8 mts),126.0,Grande,-68.8475320645,-32.8739184767,6,Residencial Norte,2694682.37982,0,muy alto
2738,Tilo,14/10/2011 11:54,Bajo (2 - 4 mts),19.0,Chico,-68.8299189288,-32.885670139,3,Parque O'Higgins,1531146.02653,0,bajo
43119,Fresno europeo,04/10/2011 09:03,Medio (4 - 8 mts),190.0,Grande,-68.8280940776,-32.8785317308,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
39596,Morera,25/10/2010 10:09,Medio (4 - 8 mts),76.0,Grande,-68.8475486855,-32.8687555424,6,Residencial Norte,2694682.37982,0,alto
41010,Morera,12/04/2011 11:04,Alto (> 8 mts),130.0,Grande,-68.8397694732,-32.8798758417,1,Parque Central,1655357.93265,1,muy alto
11066,Fresno europeo,31/03/2011 12:28,Medio (4 - 8 mts),80.0,Grande,-68.8551449446,-32.8797746151,6,Residencial Norte,2694682.37982,0,alto
34650,Morera,01/04/2011 09:26,Alto (> 8 mts),190.0,Grande,-68.8494148137,-32.8766334696,6,Residencial Norte,2694682.37982,0,muy alto
21476,Fresno europeo,11/05/2011 12:13,Alto (> 8 mts),148.0,Grande,-68.8588883218,-32.8919166693,5,Residencial Sur,2423808.92355,0,muy alto
11151,Paraiso,26/01/2011 12:20,Muy bajo (1 - 2 mts),8.0,Chico,-68.844956389,-32.9014130143,2,Barrio Civico,2366816.36021,0,bajo
19210,Paraiso,06/07/2011 09:29,Medio (4 - 8 mts),105.0,Grande,-68.8387679188,-32.872799182,4,Cuarta Oeste,1173332.70145,0,muy alto
42279,Morera,06/05/2011 13:17,Medio (4 - 8 mts),60.0,Mediano,-68.84026467,-32.8741291169,1,Parque Central,1655357.93265,0,alto
36790,Morera,07/04/2011 16:23,Alto (> 8 mts),200.0,Grande,-68.8599880563,-32.8809621608,7,Residencial Parque,1786336.08966,1,muy alto
1985,Prunas,03/01/2012 10:14,Bajo (2 - 4 mts),30.0,Mediano,-68.8600618974,-32.8892219136,5,Residencial Sur,2423808.92355,0,medio
34063,Morera,30/05/2011 09:35,Medio (4 - 8 mts),110.0,Grande,-68.8562338964,-32.8845007404,5,Residencial Sur,2423808.92355,0,muy alto
37879,Olmo bola,19/11/2010 10:41,Medio (4 - 8 mts),50.0,Mediano,-68.8500973094,-32.8735850315,6,Residencial Norte,2694682.37982,0,medio
20902,Fresno europeo,27/05/2011 09:25,Bajo (2 - 4 mts),42.0,Mediano,-68.8617233049,-32.8952968451,5,Residencial Sur,2423808.92355,0,medio
12757,Paraiso sombrilla,24/01/2011 13:39,Medio (4 - 8 mts),100.0,Grande,-68.8481224529,-32.8639933971,6,Residencial Norte,2694682.37982,0,muy alto
4187,Morera,06/07/2011 12:19,Alto (> 8 mts),68.0,Grande,-68.8371708228,-32.8757534422,1,Parque Central,1655357.93265,1,alto
44276,Fresno americano,21/10/2011 17:00,Medio (4 - 8 mts),140.0,Grande,-68.8362057735,-32.8797956989,1,Parque Central,1655357.93265,0,muy alto
36822,Pltano,07/04/2011 12:10,Alto (> 8 mts),190.0,Grande,-68.8582190521,-32.8804263774,7,Residencial Parque,1786336.08966,1,muy alto
29709,Pltano,02/03/2011 17:57,Alto (> 8 mts),192.0,Grande,-68.8427515146,-32.893532811,2,Barrio Civico,2366816.36021,0,muy alto
25528,Morera,17/02/2011 16:28,Alto (> 8 mts),138.0,Grande,-68.8404301211,-32.9004608042,2,Barrio Civico,2366816.36021,1,muy alto
3867,Fresno europeo,31/08/2011 10:51,Medio (4 - 8 mts),222.0,Grande,-68.8277276843,-32.8694913874,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
16047,Morera,15/08/2011 13:28,Alto (> 8 mts),170.0,Grande,-68.845214793,-32.8708614693,6,Residencial Norte,2694682.37982,0,muy alto
34622,Fresno europeo,17/01/2012 20:15,Bajo (2 - 4 mts),46.0,Mediano,-68.8475058974,-32.8744369611,6,Residencial Norte,2694682.37982,0,medio
21068,Morera,23/06/2011 10:48,Medio (4 - 8 mts),100.0,Grande,-68.8630058581,-32.8998778539,5,Residencial Sur,2423808.92355,1,muy alto
29361,Morera,20/04/2011 10:48,Alto (> 8 mts),120.0,Grande,-68.84257589,-32.8872537067,1,Parque Central,1655357.93265,1,muy alto
39686,Morera,30/08/2010 11:33,Medio (4 - 8 mts),50.0,Mediano,-68.8462202022,-32.8692798749,6,Residencial Norte,2694682.37982,0,medio
6987,Fresno europeo,31/05/2011 10:15,Bajo (2 - 4 mts),18.0,Chico,-68.8622492294,-32.8968100707,5,Residencial Sur,2423808.92355,0,bajo
3312,Pltano,28/09/2011 09:17,Alto (> 8 mts),110.0,Grande,-68.8279376388,-32.8764034957,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
28409,Morera,28/02/2011 12:46,Alto (> 8 mts),150.0,Grande,-68.8469311873,-32.8903401434,2,Barrio Civico,2366816.36021,0,muy alto
24715,Pltano,17/02/2011 11:18,Alto (> 8 mts),225.0,Grande,-68.8414355493,-32.8988651902,2,Barrio Civico,2366816.36021,0,muy alto
2579,Fresno europeo,20/10/2011 11:26,Alto (> 8 mts),180.0,Grande,-68.8327202956,-32.8895473115,3,Parque O'Higgins,1531146.02653,0,muy alto
27532,Acacia SP,27/10/2011 08:32,Medio (4 - 8 mts),100.0,Grande,-68.8365746465,-32.8910478818,3,Parque O'Higgins,1531146.02653,0,muy alto
45440,Morera,09/09/2011 09:08,Medio (4 - 8 mts),180.0,Grande,-68.8250311103,-32.8732894576,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
1961,Liquidambar,18/05/2011 10:39,Muy bajo (1 - 2 mts),16.0,Chico,-68.8618952684,-32.8906836203,5,Residencial Sur,2423808.92355,0,bajo
11817,Paraiso,03/03/2011 09:57,Alto (> 8 mts),200.0,Grande,-68.8496228374,-32.8659655633,6,Residencial Norte,2694682.37982,0,muy alto
46394,Morera,19/08/2011 12:32,Muy bajo (1 - 2 mts),8.0,Chico,-68.8330324901,-32.8668868231,4,Cuarta Oeste,1173332.70145,0,bajo
38250,Fresno europeo,17/01/2012 08:28,Alto (> 8 mts),140.0,Grande,-68.8472497116,-32.8735096306,6,Residencial Norte,2694682.37982,0,muy alto
41196,Fresno europeo,18/04/2011 10:16,Alto (> 8 mts),160.0,Grande,-68.8380607152,-32.8821078616,1,Parque Central,1655357.93265,0,muy alto
36115,Fresno europeo,05/04/2011 10:48,Alto (> 8 mts),65.0,Grande,-68.8555106144,-32.8772148744,6,Residencial Norte,2694682.37982,0,alto
10442,Conifera,09/03/2011 09:44,Alto (> 8 mts),138.0,Grande,-68.8557190376,-32.8738328976,6,Residencial Norte,2694682.37982,0,muy alto
18568,Morera,07/07/2011 10:53,Alto (> 8 mts),160.0,Grande,-68.8366569518,-32.8734376378,4,Cuarta Oeste,1173332.70145,1,muy alto
8263,Morera,09/03/2011 18:56,Alto (> 8 mts),62.0,Grande,-68.8453403297,-32.8923308437,2,Barrio Civico,2366816.36021,0,alto
19648,Morera,13/07/2011 10:04,Alto (> 8 mts),118.0,Grande,-68.8345215731,-32.8703974948,4,Cuarta Oeste,1173332.70145,0,muy alto
7174,Morera,18/05/2011 08:52,Medio (4 - 8 mts),62.0,Grande,-68.8557401927,-32.8991842382,5,Residencial Sur,2423808.92355,0,alto
47199,Morera,20/09/2011 10:34,Medio (4 - 8 mts),222.0,Grande,-68.8351218942,-32.8747121516,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
38620,Morera,17/12/2010 13:18,Alto (> 8 mts),180.0,Grande,-68.8526056456,-32.8718018463,6,Residencial Norte,2694682.37982,0,muy alto
22590,Morera,24/06/2011 09:10,Medio (4 - 8 mts),60.0,Mediano,-68.8613460275,-32.9008968577,5,Residencial Sur,2423808.92355,0,alto
29506,Morera,18/02/2011 11:26,Bajo (2 - 4 mts),28.0,Mediano,-68.8451669638,-32.8927183519,2,Barrio Civico,2366816.36021,0,bajo
8037,Morera,11/03/2011 10:25,Medio (4 - 8 mts),55.0,Mediano,-68.8472797512,-32.8891041826,2,Barrio Civico,2366816.36021,0,medio
16689,Morera,20/07/2011 14:30,Alto (> 8 mts),178.0,Grande,-68.8409107978,-32.8633680356,4,Cuarta Oeste,1173332.70145,0,muy alto
43289,Pltano,07/10/2011 11:50,Alto (> 8 mts),230.0,Grande,-68.8327375843,-32.879945772,3,Parque O'Higgins,1531146.02653,0,muy alto
43194,Morera,11/10/2011 15:54,Alto (> 8 mts),180.0,Grande,-68.8282355401,-32.880724446,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
603,Morera,08/03/2012 09:19,Alto (> 8 mts),110.0,Grande,-68.8194929066,-32.8679770587,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
38283,Morera,01/12/2010 11:03,Alto (> 8 mts),98.0,Grande,-68.8455638816,-32.8713487255,6,Residencial Norte,2694682.37982,0,alto
24302,Fresno europeo,28/01/2011 07:33,Alto (> 8 mts),98.0,Grande,-68.8436991098,-32.9016135961,2,Barrio Civico,2366816.36021,0,alto
17057,Paraiso,16/08/2011 09:44,Alto (> 8 mts),195.0,Grande,-68.8370225783,-32.8644559756,4,Cuarta Oeste,1173332.70145,0,muy alto
12952,Acer,12/01/2011 08:50,Alto (> 8 mts),160.0,Grande,-68.8441895984,-32.8637753118,4,Cuarta Oeste,1173332.70145,0,muy alto
10020,Paraiso sombrilla,02/11/2010 12:31,Medio (4 - 8 mts),168.0,Grande,-68.8507593211,-32.8691019532,6,Residencial Norte,2694682.37982,0,muy alto
29910,Pltano,15/03/2011 08:54,Alto (> 8 mts),195.0,Grande,-68.8398290006,-32.8919049543,2,Barrio Civico,2366816.36021,0,muy alto
40052,Morera,19/04/2011 11:44,Alto (> 8 mts),170.0,Grande,-68.844075596,-32.8792643609,1,Parque Central,1655357.93265,0,muy alto
6324,Morera,30/06/2011 11:18,Alto (> 8 mts),85.0,Grande,-68.8561335645,-32.8902032352,5,Residencial Sur,2423808.92355,0,alto
45875,Fresno americano,25/08/2011 12:54,Muy bajo (1 - 2 mts),8.0,Chico,-68.8198082037,-32.869619574,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
14228,Morera,07/12/2011 16:37,Bajo (2 - 4 mts),22.0,Mediano,-68.8770061808,-32.8659799445,8,Aeroparque,2203364.73622,0,bajo
29332,Ailanthus,25/04/2011 09:33,Alto (> 8 mts),56.0,Mediano,-68.8434516342,-32.8865944032,1,Parque Central,1655357.93265,1,medio
15765,Prunas,21/11/2011 11:34,Medio (4 - 8 mts),90.0,Grande,-68.8725823378,-32.8781070008,7,Residencial Parque,1786336.08966,0,alto
44080,Morera,14/10/2011 11:17,Medio (4 - 8 mts),120.0,Grande,-68.8312070822,-32.8859237168,3,Parque O'Higgins,1531146.02653,0,muy alto
21143,Paraiso,17/06/2011 11:19,Medio (4 - 8 mts),108.0,Grande,-68.8623204394,-32.8981293543,5,Residencial Sur,2423808.92355,0,muy alto
2425,Fresno europeo,20/10/2011 10:27,Medio (4 - 8 mts),110.0,Grande,-68.8325973586,-32.8877159413,3,Parque O'Higgins,1531146.02653,0,muy alto
38802,Morera,14/12/2010 10:07,Alto (> 8 mts),190.0,Grande,-68.850290853,-32.8707045306,6,Residencial Norte,2694682.37982,0,muy alto
29981,Morera,28/04/2011 10:01,Alto (> 8 mts),180.0,Grande,-68.842063186,-32.885844933,1,Parque Central,1655357.93265,0,muy alto
34213,Morera,03/03/2011 13:08,Alto (> 8 mts),140.0,Grande,-68.85323669,-32.8743419393,6,Residencial Norte,2694682.37982,0,muy alto
38274,Morera,02/12/2010 11:37,Alto (> 8 mts),190.0,Grande,-68.8456722605,-32.8720700343,6,Residencial Norte,2694682.37982,0,muy alto
9166,Paraiso,01/03/2011 13:15,Bajo (2 - 4 mts),35.0,Mediano,-68.8512159533,-32.8657804935,6,Residencial Norte,2694682.37982,0,medio
26331,Pltano,20/10/2011 11:37,Alto (> 8 mts),145.0,Grande,-68.8326753633,-32.8900044666,3,Parque O'Higgins,1531146.02653,0,muy alto
27860,Morera,07/11/2011 08:35,Muy bajo (1 - 2 mts),16.0,Chico,-68.8346431393,-32.8931517571,3,Parque O'Higgins,1531146.02653,0,bajo
17023,Paraiso,09/08/2011 11:41,Alto (> 8 mts),115.0,Grande,-68.8389551879,-32.8641335976,4,Cuarta Oeste,1173332.70145,0,muy alto
32968,Morera,19/05/2011 13:22,Alto (> 8 mts),165.0,Grande,-68.8501355491,-32.8875630321,5,Residencial Sur,2423808.92355,0,muy alto
29840,Ligustro,03/03/2011 19:33,Medio (4 - 8 mts),68.0,Grande,-68.8426725105,-32.8932664711,2,Barrio Civico,2366816.36021,0,alto
41719,Morera,25/04/2011 14:14,Bajo (2 - 4 mts),43.0,Mediano,-68.8378520834,-32.878437009,1,Parque Central,1655357.93265,0,medio
22133,Fresno europeo,13/06/2011 09:34,Alto (> 8 mts),62.0,Grande,-68.8555016306,-32.898103687,5,Residencial Sur,2423808.92355,0,alto
37500,Morera,16/11/2010 09:21,Alto (> 8 mts),160.0,Grande,-68.8566243643,-32.869222749,6,Residencial Norte,2694682.37982,0,muy alto
13487,Morera,31/01/2011 12:59,Alto (> 8 mts),140.0,Grande,-68.8520064717,-32.8636882293,6,Residencial Norte,2694682.37982,0,muy alto
19304,Morera,13/07/2011 10:19,Alto (> 8 mts),80.0,Grande,-68.8356597096,-32.8704170093,4,Cuarta Oeste,1173332.70145,0,alto
46912,Fresno europeo,08/09/2011 09:12,Medio (4 - 8 mts),48.0,Mediano,-68.8320408991,-32.8714250415,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
10427,Fresno europeo,10/03/2011 12:18,Bajo (2 - 4 mts),26.0,Mediano,-68.8568774123,-32.8733428249,6,Residencial Norte,2694682.37982,0,bajo
19258,Ailanthus,03/08/2011 12:23,Medio (4 - 8 mts),20.0,Chico,-68.8377495327,-32.8704990863,4,Cuarta Oeste,1173332.70145,0,bajo
18998,Morera,13/07/2011 09:39,Alto (> 8 mts),125.0,Grande,-68.8409739623,-32.8712578548,4,Cuarta Oeste,1173332.70145,0,muy alto
752,Aguaribay,15/12/2011 08:16,Bajo (2 - 4 mts),18.0,Chico,-68.8803197919,-32.8664928489,8,Aeroparque,2203364.73622,0,bajo
41152,Morera,27/04/2011 18:14,Alto (> 8 mts),132.0,Grande,-68.8386705529,-32.8824277875,1,Parque Central,1655357.93265,0,muy alto
1198,Fresno europeo,30/11/2011 11:58,Bajo (2 - 4 mts),18.0,Chico,-68.8755182868,-32.8656277638,8,Aeroparque,2203364.73622,1,bajo
13449,Morera,02/02/2011 09:47,Alto (> 8 mts),130.0,Grande,-68.8520464475,-32.8647081122,6,Residencial Norte,2694682.37982,0,muy alto
10507,Acer,10/03/2011 12:41,Muy bajo (1 - 2 mts),40.0,Mediano,-68.8490554417,-32.8745966947,6,Residencial Norte,2694682.37982,0,medio
42244,Morera,28/04/2011 14:03,Alto (> 8 mts),140.0,Grande,-68.8391019095,-32.874471713,1,Parque Central,1655357.93265,0,muy alto
46883,Pltano,08/09/2011 13:25,Alto (> 8 mts),185.0,Grande,-68.8341605117,-32.8710900354,4,Cuarta Oeste,1173332.70145,0,muy alto
15557,Acacia SP,17/11/2011 16:42,Muy bajo (1 - 2 mts),4.0,Chico,-68.8611020859,-32.8718649466,7,Residencial Parque,1786336.08966,0,bajo
8257,Pltano,09/03/2011 18:03,Alto (> 8 mts),46.0,Mediano,-68.8464238514,-32.8920356534,2,Barrio Civico,2366816.36021,0,medio
32105,Morera,09/05/2011 11:29,Alto (> 8 mts),122.0,Grande,-68.8590427812,-32.886788195,5,Residencial Sur,2423808.92355,0,muy alto
39973,Morera,02/05/2011 12:09,Alto (> 8 mts),175.0,Grande,-68.8456954919,-32.878705807,1,Parque Central,1655357.93265,1,muy alto
5031,Perenne,21/07/2011 10:56,Medio (4 - 8 mts),32.0,Mediano,-68.8403621631,-32.8626847931,4,Cuarta Oeste,1173332.70145,0,medio
23735,Paraiso,25/01/2011 11:53,Alto (> 8 mts),33.0,Mediano,-68.8495367405,-32.9013547551,2,Barrio Civico,2366816.36021,0,medio
47911,Morera,29/08/2011 12:28,Medio (4 - 8 mts),113.0,Grande,-68.8290950696,-32.8708794382,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
16049,Morera,15/08/2011 13:42,Alto (> 8 mts),150.0,Grande,-68.8451518215,-32.8706367793,6,Residencial Norte,2694682.37982,0,muy alto
21736,Morera,24/05/2011 09:36,Alto (> 8 mts),180.0,Grande,-68.8559210864,-32.8944246962,5,Residencial Sur,2423808.92355,0,muy alto
47025,Fresno europeo,15/09/2011 12:44,Medio (4 - 8 mts),80.0,Grande,-68.8312031784,-32.8728736014,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
36721,Pltano,14/06/2011 10:14,Alto (> 8 mts),180.0,Grande,-68.8597931742,-32.8812492192,7,Residencial Parque,1786336.08966,0,muy alto
33299,Acer,24/06/2011 11:15,Alto (> 8 mts),68.0,Grande,-68.8572052848,-32.8896728477,5,Residencial Sur,2423808.92355,0,alto
41277,Morera,11/04/2011 10:03,Alto (> 8 mts),118.0,Grande,-68.8405528645,-32.8818829506,1,Parque Central,1655357.93265,0,muy alto
10133,Jacarand,29/12/2010 10:05,Alto (> 8 mts),45.0,Mediano,-68.8553845996,-32.8714085309,6,Residencial Norte,2694682.37982,0,medio
16241,Morera,20/07/2011 09:45,Alto (> 8 mts),220.0,Grande,-68.8424412198,-32.86513291,4,Cuarta Oeste,1173332.70145,0,muy alto
3365,Morera,04/10/2011 09:49,Medio (4 - 8 mts),50.0,Mediano,-68.8354292608,-32.8797470135,1,Parque Central,1655357.93265,0,medio
23850,Morera,28/01/2011 12:57,Alto (> 8 mts),117.0,Grande,-68.8510193329,-32.9008625756,2,Barrio Civico,2366816.36021,0,muy alto
41244,Morera,15/04/2011 10:54,Alto (> 8 mts),209.0,Grande,-68.8391145966,-32.8810536389,1,Parque Central,1655357.93265,0,muy alto
42420,Pltano,28/09/2011 11:14,Alto (> 8 mts),168.0,Grande,-68.8335003417,-32.8754745496,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
